Date,Activity Type,Website/Platform,Time Start,Time End,Title/Item,Media Genre/Item Type,Recommendation Clicked,Browsing?,Specific Search?
11/16/2024,Online Shopping,Amazon,9:00 AM,9:30 AM,Gardening tools,Homegoods,3,Yes,No
11/16/2024,Movie/TV Streaming,Netflix,8:00 PM,10:00 PM,The Crown,Drama,0,No,Yes
11/17/2024,Online Shopping,Etsy,11:00 AM,11:20 AM,Handmade candle holders,Homegoods,2,No,Yes
11/17/2024,Movie/TV Streaming,YouTube,7:30 PM,9:00 PM,Gardening tutorials,Educational,1,Yes,No
11/18/2024,Movie/TV Streaming,Disney Plus,6:30 PM,9:00 PM,Hamilton,Musical,0,No,Yes
11/19/2024,Online Shopping,Amazon,4:30 PM,5:00 PM,Weighted blanket,Homegoods,4,No,Yes
11/20/2024,Movie/TV Streaming,Netflix,7:00 PM,8:45 PM,Better Call Saul,Drama,0,No,Yes
11/21/2024,Online Shopping,Target,12:00 PM,12:20 PM,Holiday decorations,Homegoods,2,No,Yes
11/22/2024,Online Reading,The New York Times,7:00 AM,7:30 AM,Climate change article,News,0,No,Yes
11/22/2024,Movie/TV Streaming,Hulu,8:00 PM,10:30 PM,Only Murders in the Building,Comedy,0,No,Yes
11/23/2024,Online Shopping,Nordstrom,11:00 AM,11:30 AM,Cashmere sweater,Clothing,3,No,Yes
11/24/2024,Movie/TV Streaming,YouTube,5:30 PM,6:30 PM,DIY holiday crafts,Educational,1,Yes,No
11/25/2024,Movie/TV Streaming,Netflix,8:00 PM,10:00 PM,Breaking Bad,Drama,0,No,Yes
